ID,earnings,sex,age,mrd,educ,cworker,region,race,height,weight,occupation
0,84054.75,1,51,1,18,1,2,1,67,165,1
1,17171.26367,0,38,5,1,1,4,3,60,140,13
2,8826.651367,0,39,6,10,1,2,2,63,150,8
3,28560.38672,1,35,5,14,1,4,1,67,144,3
4,20305.50977,1,53,6,8,1,3,3,70,185,12
5,84054.75,0,43,1,14,1,2,1,70,170,1
6,49430.10938,0,45,1,12,1,2,1,65,501,5
7,20305.50977,1,30,4,12,1,2,1,73,240,8
8,84054.75,1,27,6,11,1,4,1,66,140,4
9,84054.75,0,33,6,14,4,1,3,63,156,3
10,,0,32,4,13,1,1,3,66,140,4
11,84054.75,1,36,1,16,1,4,3,67,170,1
12,38925.33594,0,27,1,12,1,4,1,64,125,5
13,33712.96875,0,34,1,12,1,3,1,66,150,5
14,28560.38672,1,37,1,18,1,4,1,72,230,10
15,16081.58789,1,59,6,12,4,3,1,70,160,12
16,28560.38672,1,33,6,16,1,4,1,74,235,15
17,84054.75,1,45,1,16,2,4,1,69,175,1
18,,1,45,4,10,1,3,1,68,205,15
19,84054.75,0,52,1,16,1,4,1,63,120,5
20,84054.75,0,43,1,16,4,4,1,64,138,8
21,44152.16016,1,50,1,18,4,4,1,69,170,5
22,33712.96875,1,48,1,13,6,4,1,73,230,4
23,23362.87305,1,44,6,12,1,3,3,73,270,14
24,84054.75,1,42,5,18,6,3,1,72,175,2
25,33712.96875,0,25,4,13,1,3,2,65,163,5
26,14021.39453,1,50,1,12,1,4,4,67,130,8
27,12954.76563,1,36,1,6,1,4,3,65,160,9
28,23362.87305,0,54,1,8,1,2,1,63,210,8
29,84054.75,1,42,1,16,1,2,1,65,190,1
30,17171.26367,1,47,6,12,1,1,1,68,190,8
31,44152.16016,0,34,1,16,2,3,2,67,178,1
32,38925.33594,1,39,1,13,1,3,1,73,185,2
33,49430.10938,1,47,1,18,2,3,1,71,175,1
34,33712.96875,1,35,1,12,1,2,1,71,220,3
35,,1,60,4,11,1,2,1,72,198,10
36,49430.10938,0,59,1,16,4,2,1,66,140,2
37,49430.10938,0,36,1,12,1,2,1,57,100,13
38,28560.38672,0,31,4,17,1,4,1,66,117,2
39,84054.75,0,58,1,12,1,4,1,62,235,5
40,12954.76563,0,50,1,16,1,3,3,63,165,5
41,20305.50977,0,44,4,12,1,2,1,63,135,5
42,33712.96875,0,49,4,15,1,4,1,67,180,2
43,19237.19531,0,36,1,11,1,2,1,63,180,14
44,16081.58789,0,57,1,8,1,2,1,64,120,5
45,84054.75,0,38,1,18,4,3,2,63,150,2
46,15081.97559,1,47,4,9,1,3,1,68,135,13
47,19237.19531,1,25,4,13,1,2,1,66,156,9
48,84054.75,1,30,6,14,1,4,2,74,225,13
49,33712.96875,0,34,6,16,1,2,1,66,190,3
50,44152.16016,1,34,1,11,1,2,3,62,160,12
51,84054.75,0,39,6,18,1,2,1,67,140,2
52,44152.16016,0,30,1,14,1,3,3,69,180,1
53,23362.87305,1,52,1,18,6,2,1,68,178,2
54,23362.87305,0,32,1,12,1,3,1,60,118,4
55,84054.75,1,41,1,16,1,1,1,74,215,11
56,84054.75,0,35,1,16,3,2,1,67,145,2
57,33712.96875,0,41,1,12,6,3,1,71,170,5
58,49430.10938,1,26,1,12,1,4,1,67,160,8
59,38925.33594,0,36,4,18,4,4,1,68,145,2
60,33712.96875,0,55,1,12,1,1,1,64,135,1
61,84054.75,0,36,1,17,1,4,4,62,130,3
62,84054.75,1,31,6,14,1,4,1,73,260,10
63,28560.38672,1,64,1,8,1,3,1,74,188,9
64,28560.38672,0,51,3,18,3,3,1,66,210,2
65,18168.8418,0,43,4,14,1,2,1,63,245,5
66,84054.75,0,35,1,13,3,2,2,62,125,2
67,84054.75,1,53,1,16,1,4,1,70,225,4
68,84054.75,0,33,1,15,1,3,1,65,170,2
69,84054.75,0,52,1,14,1,4,1,64,130,1
70,33712.96875,0,28,1,13,6,1,1,62,126,8
71,23362.87305,0,51,4,12,1,4,1,63,501,4
72,16081.58789,0,42,4,12,1,1,1,62,140,13
73,84054.75,0,25,1,16,4,3,1,63,145,2
74,28560.38672,0,45,4,12,1,3,1,61,130,5
75,8826.651367,0,56,1,7,1,3,1,61,130,3
76,44152.16016,0,40,1,12,1,2,1,62,501,12
77,20305.50977,0,52,5,12,1,1,1,65,155,5
78,84054.75,0,27,1,12,1,1,1,63,135,13
79,23362.87305,0,53,4,12,1,3,1,65,195,5
80,33712.96875,1,38,1,10,4,1,1,69,185,5
81,38925.33594,1,38,1,14,1,1,1,67,180,4
82,33712.96875,1,25,1,11,1,3,1,76,185,14
83,10865.42871,1,37,1,12,1,3,1,73,250,8
84,18168.8418,0,30,4,12,1,2,1,63,130,5
85,16081.58789,1,59,4,16,4,2,1,72,160,8
86,84054.75,1,47,1,18,1,2,1,68,215,1
87,84054.75,1,48,1,18,3,2,1,73,180,1
88,38925.33594,0,32,1,12,6,2,1,67,148,8
89,23362.87305,1,30,1,2,1,3,3,62,150,1
90,23362.87305,0,40,1,12,1,2,1,67,165,5
91,84054.75,0,49,1,18,3,4,1,64,138,2
92,84054.75,0,46,1,17,2,2,4,61,115,2
93,84054.75,1,39,1,16,2,4,1,68,173,3
94,84054.75,1,36,1,15,1,4,2,71,240,10
95,84054.75,1,51,1,16,6,4,1,70,150,3
96,28560.38672,0,37,1,13,1,2,1,65,155,8
97,4726.391113,0,25,1,12,1,3,2,64,120,4
98,38925.33594,0,38,4,18,6,2,1,65,135,8
99,38925.33594,0,48,3,12,1,3,1,68,175,4
100,84054.75,0,56,1,16,1,3,1,65,160,2
101,8826.651367,0,43,1,12,1,3,2,66,180,8
102,84054.75,0,33,1,12,1,3,3,60,255,4
103,33712.96875,1,25,1,14,1,3,1,74,200,11
104,18168.8418,1,36,1,14,1,3,2,71,150,13
105,23362.87305,0,39,1,12,4,1,1,61,110,1
106,84054.75,1,54,1,12,6,3,2,74,228,14
107,84054.75,0,48,1,16,1,1,1,66,150,5
108,23362.87305,0,55,1,12,1,1,1,63,110,8
